,coef,std err,t,P>|t|,[0.025,0.975]
2014 beta:GICS_SECTOR_NAME[Consumer Discretionary],0.0002,0.0,1.508,0.132,-6.36e-05,0.0
2014 beta:GICS_SECTOR_NAME[Consumer Staples],0.0004,0.0,1.975,0.049,2.25e-06,0.001
2014 beta:GICS_SECTOR_NAME[Energy],-0.0007,0.0,-4.963,0.0,-0.001,-0.0
2014 beta:GICS_SECTOR_NAME[Financials],2.944e-05,0.0,0.228,0.82,-0.0,0.0
2014 beta:GICS_SECTOR_NAME[Health Care],0.0007,0.0,4.933,0.0,0.0,0.001
2014 beta:GICS_SECTOR_NAME[Industrials],0.0001,0.0,0.8140000000000001,0.41600000000000004,-0.0,0.0
2014 beta:GICS_SECTOR_NAME[Information Technology],0.0003,0.0,2.694,0.006999999999999999,9.329999999999999e-05,0.001
2014 beta:GICS_SECTOR_NAME[Materials],-1.271e-05,0.0,-0.078,0.938,-0.0,0.0
2014 beta:GICS_SECTOR_NAME[Real Estate],0.001,0.0,3.234,0.001,0.0,0.002
2014 beta:GICS_SECTOR_NAME[Utilities],0.001,0.0,2.9989999999999997,0.003,0.0,0.002
2014 Intercept,0.0003,0.0,2.475,0.013999999999999999,6.43e-05,0.001
2014 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],0.0001,0.0,0.922,0.35700000000000004,-0.0,0.0
2014 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],0.0002,0.0,1.499,0.134,-6.75e-05,0.001
2014 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],0.0005,0.0,2.353,0.019,8.31e-05,0.001
2014 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],-0.0006,0.0,-4.74,0.0,-0.001,-0.0
2014 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],5.573e-05,0.0,0.431,0.667,-0.0,0.0
2014 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],0.0007,0.0,5.215,0.0,0.0,0.001
2014 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],0.0001,0.0,1.123,0.262,-0.0,0.0
2014 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],2.56e-05,0.0,0.158,0.875,-0.0,0.0
2014 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],0.001,0.0,3.4560000000000004,0.001,0.0,0.002
2014 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],0.0004,0.0,3.2560000000000002,0.001,0.0,0.001
2014 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],0.0011,0.0,3.24,0.001,0.0,0.002
2015 Intercept,0.0002,0.0,0.907,0.365,-0.0,0.001
2015 beta:Cluster[Cluster 0],0.0008,0.0,3.012,0.003,0.0,0.001
2015 beta:Cluster[Cluster 1],-6.643e-06,0.0,-0.02,0.9840000000000001,-0.001,0.001
2015 beta:Cluster[Cluster 10],-0.0014,0.0,-6.653,0.0,-0.002,-0.001
2015 beta:Cluster[Cluster 2],-0.0011,0.0,-2.995,0.003,-0.002,-0.0
2015 beta:Cluster[Cluster 3],-4.197e-05,0.0,-0.159,0.8740000000000001,-0.001,0.0
2015 beta:Cluster[Cluster 5],-0.0007,0.0,-1.51,0.132,-0.002,0.0
2015 beta:Cluster[Cluster 6],-0.0003,0.0,-1.265,0.207,-0.001,0.0
2015 beta:Cluster[Cluster 7],-0.0006,0.0,-1.9269999999999998,0.055,-0.001,1.2e-05
2015 beta:Cluster[Cluster 8],-0.0005,0.0,-2.084,0.038,-0.001,-2.8300000000000003e-05
2015 beta:Cluster[Cluster 9],9.434e-05,0.0,0.35100000000000003,0.726,-0.0,0.001
2015 beta:Cluster[Cluster_NO_MAP_Cluster 4],0.0051,0.003,1.901,0.057999999999999996,-0.0,0.01
2015 Intercept,0.0001,0.0,0.442,0.6579999999999999,-0.0,0.001
2015 beta:GICS_SECTOR_NAME[Communication Services],0.0001,0.0,0.43700000000000006,0.662,-0.0,0.001
2015 beta:GICS_SECTOR_NAME[Consumer Discretionary],-0.0002,0.0,-0.777,0.43799999999999994,-0.001,0.0
2015 beta:GICS_SECTOR_NAME[Consumer Staples],0.0004,0.0,1.204,0.22899999999999998,-0.0,0.001
2015 beta:GICS_SECTOR_NAME[Energy],-0.0012,0.0,-5.1610000000000005,0.0,-0.002,-0.001
2015 beta:GICS_SECTOR_NAME[Financials],-0.0002,0.0,-0.708,0.479,-0.001,0.0
2015 beta:GICS_SECTOR_NAME[Health Care],0.0002,0.0,0.797,0.426,-0.0,0.001
2015 beta:GICS_SECTOR_NAME[Industrials],-0.0004,0.0,-1.3780000000000001,0.16899999999999998,-0.001,0.0
2015 beta:GICS_SECTOR_NAME[Information Technology],-7.277e-05,0.0,-0.305,0.7609999999999999,-0.001,0.0
2015 beta:GICS_SECTOR_NAME[Materials],-0.0006,0.0,-2.121,0.034,-0.001,-4.22e-05
2015 beta:GICS_SECTOR_NAME[Real Estate],-0.0001,0.0,-0.341,0.733,-0.001,0.001
2015 beta:GICS_SECTOR_NAME[Utilities],-0.0007,0.0,-1.5130000000000001,0.131,-0.002,0.0
2015 Intercept,0.0001,0.0,0.43700000000000006,0.662,-0.0,0.001
2015 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],0.0002,0.0,0.815,0.415,-0.0,0.001
2015 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],-0.0002,0.0,-0.862,0.389,-0.001,0.0
2015 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],0.0004,0.0,1.153,0.25,-0.0,0.001
2015 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],-0.0011,0.0,-4.813,0.0,-0.002,-0.001
2015 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],-0.0002,0.0,-0.754,0.451,-0.001,0.0
2015 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],0.0002,0.0,0.8190000000000001,0.413,-0.0,0.001
2015 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],-0.0004,0.0,-1.556,0.12,-0.001,0.0
2015 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],-0.0006,0.0,-2.105,0.036000000000000004,-0.001,-3.81e-05
2015 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],-0.0001,0.0,-0.33799999999999997,0.735,-0.001,0.001
2015 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],-0.0001,0.0,-0.523,0.601,-0.001,0.0
2015 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],-0.0007,0.0,-1.501,0.134,-0.002,0.0
2016 Intercept,0.0004,0.0,4.2010000000000005,0.0,0.0,0.001
2016 beta:Cluster[Cluster 0],0.0004,0.0,4.008,0.0,0.0,0.001
2016 beta:Cluster[Cluster 10],0.0007,8.4e-05,8.238999999999999,0.0,0.001,0.001
2016 beta:Cluster[Cluster 2],-0.0004,0.0,-2.474,0.013999999999999999,-0.001,-8.25e-05
2016 beta:Cluster[Cluster 3],5.882e-05,9.48e-05,0.621,0.535,-0.0,0.0
2016 beta:Cluster[Cluster 5],0.0004,0.0,1.0959999999999999,0.27399999999999997,-0.0,0.001
2016 beta:Cluster[Cluster 6],-0.0009,0.0,-6.122999999999999,0.0,-0.001,-0.001
2016 beta:Cluster[Cluster 7],-9.173e-05,0.0,-0.705,0.48100000000000004,-0.0,0.0
2016 beta:Cluster[Cluster 8],0.0004,9.68e-05,4.14,0.0,0.0,0.001
2016 beta:Cluster[Cluster 9],0.0001,0.0,1.192,0.23399999999999999,-8.56e-05,0.0
2016 beta:Cluster[Cluster_NO_MAP_Cluster 1],-0.0004,0.0,-1.5019999999999998,0.134,-0.001,0.0
2016 beta:Cluster[Cluster_NO_MAP_Cluster 4],-0.0005,0.001,-1.0,0.318,-0.002,0.001
2016 Intercept,0.0005,0.0,5.3260000000000005,0.0,0.0,0.001
2016 beta:GICS_SECTOR_NAME[Communication Services],-0.0002,0.0,-1.656,0.098,-0.001,4.5299999999999997e-05
2016 beta:GICS_SECTOR_NAME[Consumer Discretionary],-0.0003,0.0,-2.488,0.013000000000000001,-0.001,-5.94e-05
2016 beta:GICS_SECTOR_NAME[Consumer Staples],-0.0004,0.0,-2.001,0.046,-0.001,-8.1e-06
2016 beta:GICS_SECTOR_NAME[Energy],0.0006,8.4e-05,6.822,0.0,0.0,0.001
2016 beta:GICS_SECTOR_NAME[Financials],0.0003,9.4e-05,3.155,0.002,0.0,0.0
2016 beta:GICS_SECTOR_NAME[Health Care],-0.0007,0.0,-5.1080000000000005,0.0,-0.001,-0.0
2016 beta:GICS_SECTOR_NAME[Industrials],0.0002,0.0,1.945,0.052000000000000005,-2.21e-06,0.0
2016 beta:GICS_SECTOR_NAME[Information Technology],0.0002,0.0,1.979,0.048,1.44e-06,0.0
2016 beta:GICS_SECTOR_NAME[Materials],0.0004,0.0,3.052,0.002,0.0,0.001
2016 beta:GICS_SECTOR_NAME[Real Estate],-0.0003,0.0,-1.787,0.075,-0.001,3.2500000000000004e-05
2016 beta:GICS_SECTOR_NAME[Utilities],0.0002,0.0,0.726,0.46799999999999997,-0.0,0.001
2016 Intercept,0.0005,0.0,5.032,0.0,0.0,0.001
2016 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],-0.0002,0.0,-1.5759999999999998,0.11599999999999999,-0.001,5.5100000000000004e-05
2016 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],-0.0003,0.0,-2.472,0.013999999999999999,-0.001,-5.94e-05
2016 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],-0.0004,0.0,-1.9369999999999998,0.053,-0.001,6.16e-06
2016 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],0.0005,8.43e-05,6.303,0.0,0.0,0.001
2016 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],0.0003,9.549999999999999e-05,3.306,0.001,0.0,0.001
2016 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],-0.0006,0.0,-4.81,0.0,-0.001,-0.0
2016 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],0.0003,0.0,2.474,0.013999999999999999,5.85e-05,0.001
2016 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],0.0004,0.0,3.155,0.002,0.0,0.001
2016 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],-0.0003,0.0,-1.6369999999999998,0.102,-0.001,6.02e-05
2016 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],0.0002,0.0,2.343,0.02,3.8e-05,0.0
2016 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],0.0002,0.0,0.84,0.401,-0.0,0.001
2017 Intercept,0.0005,0.0,4.864,0.0,0.0,0.001
2017 beta:Cluster[Cluster 0],0.0002,0.0,1.349,0.17800000000000002,-9.109999999999999e-05,0.0
2017 beta:Cluster[Cluster 10],-0.0009,0.0,-5.732,0.0,-0.001,-0.001
2017 beta:Cluster[Cluster 2],0.0002,0.0,1.601,0.11,-5.5299999999999996e-05,0.001
2017 beta:Cluster[Cluster 3],-0.0005,0.0,-2.786,0.006,-0.001,-0.0
2017 beta:Cluster[Cluster 4],-0.0009,0.0,-3.773,0.0,-0.001,-0.0
2017 beta:Cluster[Cluster 5],-0.0013,0.001,-1.635,0.10300000000000001,-0.003,0.0
2017 beta:Cluster[Cluster 6],-0.0004,0.0,-1.406,0.16,-0.001,0.0
2017 beta:Cluster[Cluster 7],0.0003,9.65e-05,3.286,0.001,0.0,0.001
2017 beta:Cluster[Cluster 8],0.0001,9.88e-05,1.236,0.217,-7.2e-05,0.0
2017 beta:Cluster[Cluster 9],0.0007,9.84e-05,6.651,0.0,0.0,0.001
2017 beta:Cluster[Cluster_NO_MAP_Cluster 1],-0.0009,0.0,-2.2119999999999997,0.027000000000000003,-0.002,-9.499999999999999e-05
2017 Intercept,0.0001,0.0,1.431,0.153,-5.4600000000000006e-05,0.0
2017 beta:GICS_SECTOR_NAME[Communication Services],0.0004,0.0,2.108,0.036000000000000004,2.56e-05,0.001
2017 beta:GICS_SECTOR_NAME[Consumer Discretionary],0.0004,0.0,3.2510000000000003,0.001,0.0,0.001
2017 beta:GICS_SECTOR_NAME[Consumer Staples],0.0003,0.0,0.88,0.379,-0.0,0.001
2017 beta:GICS_SECTOR_NAME[Energy],-0.0004,0.0,-2.648,0.008,-0.001,-0.0
2017 beta:GICS_SECTOR_NAME[Financials],0.0004,0.0,3.799,0.0,0.0,0.001
2017 beta:GICS_SECTOR_NAME[Health Care],0.0008,0.0,5.249,0.0,0.0,0.001
2017 beta:GICS_SECTOR_NAME[Industrials],0.0005,0.0,4.708,0.0,0.0,0.001
2017 beta:GICS_SECTOR_NAME[Information Technology],0.0007,0.0,6.928,0.0,0.001,0.001
2017 beta:GICS_SECTOR_NAME[Materials],0.0005,0.0,3.747,0.0,0.0,0.001
2017 beta:GICS_SECTOR_NAME[Real Estate],0.0003,0.0,1.032,0.302,-0.0,0.001
2017 beta:GICS_SECTOR_NAME[Utilities],0.0016,0.0,3.259,0.001,0.001,0.003
2017 Intercept,0.0001,0.0,1.227,0.22,-7.5e-05,0.0
2017 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],0.0004,0.0,2.505,0.013000000000000001,9.379999999999999e-05,0.001
2017 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],0.0005,0.0,3.398,0.001,0.0,0.001
2017 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],0.0004,0.0,1.409,0.159,-0.0,0.001
2017 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],-0.0004,0.0,-2.5340000000000003,0.012,-0.001,-9.01e-05
2017 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],0.0004,0.0,3.736,0.0,0.0,0.001
2017 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],0.0008,0.0,5.353,0.0,0.001,0.001
2017 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],0.0005,0.0,4.962,0.0,0.0,0.001
2017 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],0.0006,0.0,3.86,0.0,0.0,0.001
2017 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],0.0003,0.0,1.1440000000000001,0.253,-0.0,0.001
2017 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],0.0007,0.0,7.087999999999999,0.0,0.001,0.001
2017 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],0.0016,0.0,3.344,0.001,0.001,0.003
2018 Intercept,0.0003,0.0,1.575,0.11599999999999999,-6.95e-05,0.001
2018 beta:Cluster[Cluster 0],-0.0005,0.0,-1.891,0.059000000000000004,-0.001,1.76e-05
2018 beta:Cluster[Cluster 1],-0.0017,0.0,-3.92,0.0,-0.003,-0.001
2018 beta:Cluster[Cluster 10],-0.0012,0.0,-5.653,0.0,-0.002,-0.001
2018 beta:Cluster[Cluster 2],-0.001,0.0,-5.234,0.0,-0.001,-0.001
2018 beta:Cluster[Cluster 3],0.0002,0.0,0.8690000000000001,0.385,-0.0,0.0
2018 beta:Cluster[Cluster 4],-0.0005,0.0,-2.6039999999999996,0.01,-0.001,-0.0
2018 beta:Cluster[Cluster 5],-0.0013,0.0,-3.049,0.002,-0.002,-0.0
2018 beta:Cluster[Cluster 6],-0.0003,0.001,-0.275,0.7829999999999999,-0.003,0.002
2018 beta:Cluster[Cluster 7],-0.0011,0.0,-5.483,0.0,-0.002,-0.001
2018 beta:Cluster[Cluster 8],-0.0006,0.0,-2.053,0.040999999999999995,-0.001,-2.6300000000000002e-05
2018 beta:Cluster[Cluster 9],-0.0008,0.0,-3.573,0.0,-0.001,-0.0
2018 Intercept,3.311e-05,0.0,0.201,0.841,-0.0,0.0
2018 beta:GICS_SECTOR_NAME[Communication Services],-9.997e-05,0.0,-0.44299999999999995,0.6579999999999999,-0.001,0.0
2018 beta:GICS_SECTOR_NAME[Consumer Discretionary],-0.0004,0.0,-2.035,0.042,-0.001,-1.49e-05
2018 beta:GICS_SECTOR_NAME[Consumer Staples],-0.0008,0.0,-2.175,0.03,-0.002,-7.96e-05
2018 beta:GICS_SECTOR_NAME[Energy],-0.001,0.0,-4.643,0.0,-0.001,-0.001
2018 beta:GICS_SECTOR_NAME[Financials],-0.0008,0.0,-4.005,0.0,-0.001,-0.0
2018 beta:GICS_SECTOR_NAME[Health Care],7.674e-05,0.0,0.39899999999999997,0.69,-0.0,0.0
2018 beta:GICS_SECTOR_NAME[Industrials],-0.0005,0.0,-2.8160000000000003,0.005,-0.001,-0.0
2018 beta:GICS_SECTOR_NAME[Information Technology],1.267e-05,0.0,0.079,0.937,-0.0,0.0
2018 beta:GICS_SECTOR_NAME[Materials],-0.0008,0.0,-3.193,0.001,-0.001,-0.0
2018 beta:GICS_SECTOR_NAME[Real Estate],-0.0007,0.0,-1.8019999999999998,0.07200000000000001,-0.001,6.48e-05
2018 beta:GICS_SECTOR_NAME[Utilities],0.0007,0.001,0.9670000000000001,0.33399999999999996,-0.001,0.002
2018 Intercept,9.161000000000001e-06,0.0,0.055999999999999994,0.955,-0.0,0.0
2018 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],-3.05e-05,0.0,-0.138,0.89,-0.0,0.0
2018 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],-0.0005,0.0,-2.331,0.02,-0.001,-7.63e-05
2018 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],-0.0007,0.0,-1.839,0.067,-0.001,4.47e-05
2018 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],-0.001,0.0,-4.583,0.0,-0.001,-0.001
2018 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],-0.0009,0.0,-4.287,0.0,-0.001,-0.0
2018 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],0.0001,0.0,0.602,0.5479999999999999,-0.0,0.0
2018 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],-0.0005,0.0,-2.414,0.016,-0.001,-8.65e-05
2018 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],-0.0008,0.0,-3.1239999999999997,0.002,-0.001,-0.0
2018 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],-0.0007,0.0,-1.715,0.087,-0.001,9.83e-05
2018 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],2.026e-05,0.0,0.127,0.899,-0.0,0.0
2018 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],0.0008,0.001,1.067,0.28600000000000003,-0.001,0.002
2019 Intercept,0.0009,9.470000000000001e-05,9.798,0.0,0.001,0.001
2019 beta:Cluster[Cluster 0],-0.0004,0.001,-0.6990000000000001,0.485,-0.002,0.001
2019 beta:Cluster[Cluster 1],0.0002,0.0,1.805,0.07200000000000001,-1.6100000000000002e-05,0.0
2019 beta:Cluster[Cluster 10],2.702e-05,0.0,0.19699999999999998,0.8440000000000001,-0.0,0.0
2019 beta:Cluster[Cluster 2],2.208e-05,0.0,0.18100000000000002,0.857,-0.0,0.0
2019 beta:Cluster[Cluster 3],0.0004,0.0,2.658,0.008,0.0,0.001
2019 beta:Cluster[Cluster 4],0.0005,0.0,2.5340000000000003,0.012,0.0,0.001
2019 beta:Cluster[Cluster 5],-0.0002,0.0,-1.933,0.054000000000000006,-0.0,4.06e-06
2019 beta:Cluster[Cluster 6],0.0005,0.0,5.01,0.0,0.0,0.001
2019 beta:Cluster[Cluster 7],-0.0002,0.0,-1.64,0.102,-0.0,4.210000000000001e-05
2019 beta:Cluster[Cluster 8],0.0003,9.88e-05,3.195,0.001,0.0,0.001
2019 beta:Cluster[Cluster 9],-0.0004,0.0,-3.451,0.001,-0.001,-0.0
2019 Intercept,0.001,0.0001,9.658999999999999,0.0,0.001,0.001
2019 beta:GICS_SECTOR_NAME[Communication Services],3.214e-05,0.0,0.191,0.848,-0.0,0.0
2019 beta:GICS_SECTOR_NAME[Consumer Discretionary],-6.189e-05,0.0,-0.531,0.596,-0.0,0.0
2019 beta:GICS_SECTOR_NAME[Consumer Staples],7.604e-05,0.0,0.3,0.765,-0.0,0.001
2019 beta:GICS_SECTOR_NAME[Energy],-0.0005,0.0,-3.56,0.0,-0.001,-0.0
2019 beta:GICS_SECTOR_NAME[Financials],9.959e-05,0.0,0.84,0.401,-0.0,0.0
2019 beta:GICS_SECTOR_NAME[Health Care],1.402e-05,0.0,0.105,0.9159999999999999,-0.0,0.0
2019 beta:GICS_SECTOR_NAME[Industrials],0.0001,0.0,1.298,0.195,-7.38e-05,0.0
2019 beta:GICS_SECTOR_NAME[Information Technology],0.0004,9.08e-05,4.506,0.0,0.0,0.001
2019 beta:GICS_SECTOR_NAME[Materials],-0.0002,0.0,-1.189,0.235,-0.0,0.0
2019 beta:GICS_SECTOR_NAME[Real Estate],0.0002,0.0,0.496,0.62,-0.0,0.001
2019 beta:GICS_SECTOR_NAME[Utilities],-0.0006,0.001,-1.077,0.282,-0.002,0.0
2019 Intercept,0.001,9.89e-05,9.671,0.0,0.001,0.001
2019 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],-1.189e-05,0.0,-0.07400000000000001,0.941,-0.0,0.0
2019 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],3.923e-07,0.0,0.003,0.997,-0.0,0.0
2019 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],0.0002,0.0,0.746,0.456,-0.0,0.001
2019 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],-0.0005,0.0,-3.54,0.0,-0.001,-0.0
2019 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],7.449e-06,0.0,0.063,0.95,-0.0,0.0
2019 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],1.59e-05,0.0,0.12,0.904,-0.0,0.0
2019 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],0.0001,0.0,1.1640000000000001,0.245,-8.669999999999999e-05,0.0
2019 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],-0.0002,0.0,-1.148,0.251,-0.0,0.0
2019 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],0.0002,0.0,0.551,0.5820000000000001,-0.0,0.001
2019 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],0.0005,9.13e-05,5.052,0.0,0.0,0.001
2019 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],-0.0005,0.001,-1.038,0.3,-0.002,0.0
2020 Intercept,-9.819e-05,0.0,-0.552,0.581,-0.0,0.0
2020 beta:Cluster[Cluster 0],0.0024,0.0,9.912,0.0,0.002,0.003
2020 beta:Cluster[Cluster 1],-0.0002,0.0,-1.1640000000000001,0.245,-0.001,0.0
2020 beta:Cluster[Cluster 10],0.0012,0.0,6.112,0.0,0.001,0.002
2020 beta:Cluster[Cluster 2],0.0022,0.001,3.843,0.0,0.001,0.003
2020 beta:Cluster[Cluster 3],0.0015,0.0,7.156000000000001,0.0,0.001,0.002
2020 beta:Cluster[Cluster 4],0.0002,0.0,0.895,0.371,-0.0,0.001
2020 beta:Cluster[Cluster 6],0.0012,0.0,5.749,0.0,0.001,0.002
2020 beta:Cluster[Cluster 7],0.0004,0.0,2.428,0.016,7.45e-05,0.001
2020 beta:Cluster[Cluster 8],0.0011,0.0,5.3420000000000005,0.0,0.001,0.002
2020 beta:Cluster[Cluster 9],0.0005,0.0,2.9530000000000003,0.003,0.0,0.001
2020 beta:Cluster[Cluster_NO_MAP_Cluster 5],0.0006,0.003,0.226,0.821,-0.005,0.006
2020 Intercept,0.0006,0.0,2.8369999999999997,0.005,0.0,0.001
2020 beta:GICS_SECTOR_NAME[Communication Services],0.0003,0.0,1.091,0.276,-0.0,0.001
2020 beta:GICS_SECTOR_NAME[Consumer Discretionary],0.0006,0.0,3.076,0.002,0.0,0.001
2020 beta:GICS_SECTOR_NAME[Consumer Staples],-4.466e-05,0.0,-0.128,0.898,-0.001,0.001
2020 beta:GICS_SECTOR_NAME[Energy],-0.0007,0.0,-3.7680000000000002,0.0,-0.001,-0.0
2020 beta:GICS_SECTOR_NAME[Financials],7.629e-06,0.0,0.043,0.966,-0.0,0.0
2020 beta:GICS_SECTOR_NAME[Health Care],0.0006,0.0,2.2769999999999997,0.023,8.06e-05,0.001
2020 beta:GICS_SECTOR_NAME[Industrials],0.0004,0.0,1.7269999999999999,0.085,-5.04e-05,0.001
2020 beta:GICS_SECTOR_NAME[Information Technology],0.0007,0.0,3.552,0.0,0.0,0.001
2020 beta:GICS_SECTOR_NAME[Materials],0.0006,0.0,2.353,0.019,9.65e-05,0.001
2020 beta:GICS_SECTOR_NAME[Real Estate],0.0002,0.0,0.924,0.35600000000000004,-0.0,0.001
2020 beta:GICS_SECTOR_NAME[Utilities],-0.0004,0.0,-1.375,0.17,-0.001,0.0
2020 Intercept,0.0005,0.0,2.6239999999999997,0.009000000000000001,0.0,0.001
2020 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],0.0004,0.0,1.314,0.18899999999999997,-0.0,0.001
2020 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],0.0006,0.0,3.237,0.001,0.0,0.001
2020 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],8.191e-05,0.0,0.237,0.813,-0.001,0.001
2020 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],-0.0007,0.0,-3.6319999999999997,0.0,-0.001,-0.0
2020 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],-1.071e-05,0.0,-0.06,0.9520000000000001,-0.0,0.0
2020 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],0.0006,0.0,2.457,0.013999999999999999,0.0,0.001
2020 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],0.0004,0.0,1.775,0.076,-4.04e-05,0.001
2020 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],0.0006,0.0,2.487,0.013000000000000001,0.0,0.001
2020 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],0.0002,0.0,1.06,0.29,-0.0,0.001
2020 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],0.0008,0.0,3.7939999999999996,0.0,0.0,0.001
2020 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],-0.0004,0.0,-1.237,0.217,-0.001,0.0
